WOT-DATA,2
{{ID}},MaxDamage,MaxPenetration,MaxPenetrationDamage,TopGunReloadTime
{{EN}},Damage using the best gun/shell (except premium shells).,Penetration using the best gun/shell (except premium shells).,Damage using the most penetrating gun/shell (except premium shells).,Top gun reload time.
{{RU}},Урон лучшей пушкой/снарядом (кроме голды).,Пробитие лучшей пушкой/снарядом (кроме голды).,Урон пушкой/снарядом с лучшим пробитием (кроме голды).,Время перезарядки топового орудия.
china-Ch01_Type59,330,181,250,"8,7",#266
china-Ch01_Type59_Gold,330,181,250,"8,7",#266
china-Ch02_Type62,300,145,180,"5,5",#266
china-Ch03_WZ-111,530,175,390,"12,5",#266
china-Ch04_T34_1,330,175,250,"9,3",#266
china-Ch04_T34_1_training,160,120,160,5,#266
china-Ch05_T34_2,530,181,250,15,#266
china-Ch06_Renault_NC31,42,40,36,"2,3",#266
china-Ch06_Renault_NC31_bot,5,29,5,"2,5",#266
china-Ch07_Vickers_MkE_Type_BT26,65,51,47,8,#266
china-Ch08_Type97_Chi_Ha,95,81,70,3,#266
china-Ch09_M5,90,81,70,"2,5",#266
china-Ch10_IS2,530,175,250,"12,3",#266
china-Ch11_110,530,215,320,10,#266
china-Ch11_110_IGR,420,215,320,10,#266
china-Ch12_111_1_2_3,640,244,490,14,#266
china-Ch14_T34_3,530,175,390,"13,4",#266
china-Ch15_59_16,165,112,85,9,#266
china-Ch16_WZ_131,330,181,250,"8,3",#266
china-Ch17_WZ131_1_WZ132,330,189,250,"7,3",#266
china-Ch17_WZ131_1_WZ132_IGR,330,189,250,"7,3",#266
china-Ch18_WZ-120,530,249,440,12,#266
china-Ch19_121,530,258,440,"9,6",#266
china-Ch19_121_IGR,530,258,440,"9,6",#266
china-Ch20_Type58,280,128,160,5,#266
china-Ch21_T34,156,112,85,"2,3",#266
china-Ch22_113,530,249,440,10,#266
china-Ch23_112,530,175,390,"13,2",#266
china-Ch24_Type64,185,128,115,"3,3",#266
china-Ch25_121_mod_1971B,480,261,390,"10,2",#266
china-Ch26_59_Patton,320,190,240,"7,5",#266
czech-Cz01_Skoda_T40,270,145,220,"6,9",#266
czech-Cz02_TVP_T50,420,248,320,22,#266
czech-Cz03_LT_vz35,45,52,40,"2,6",#266
czech-Cz04_T50_51,420,248,320,25,#266
czech-Cz05_T34_100,330,175,250,"8,5",#266
czech-Cz06_Kolohousenka,65,45,50,"3,1",#266
czech-Cz07_TVP_46,420,194,240,11,#266
czech-Cz08_T_25,175,132,110,8,#266
czech-Cz09_T_24,175,132,110,"5,3",#266
czech-Cz10_LT_vz38,45,82,40,5,#266
czech-Cz11_V_8_H,75,86,60,"2,5",#266
france-F01_RenaultFT,36,29,30,"5,8",#266
france-F01_RenaultFT_bot,5,29,5,"2,5",#266
france-F02_D1,62,46,27,"2,5",#266
france-F03_D2,70,66,55,"2,6",#266
france-F04_B1,70,66,55,"2,1",#266
france-F05_BDR_G1B,320,135,240,"9,5",#266
france-F06_ARL_44,360,212,240,10,#266
france-F07_AMX_M4_1945,360,212,240,"8,6",#266
france-F08_AMX_50_100,400,232,300,50,#266
france-F08_AMX_50_100_IGR,400,232,300,50,#266
france-F09_AMX_50_120,515,257,400,35,#266
france-F10_AMX_50B,515,257,400,30,#266
france-F10_AMX_50B_fallout,515,257,400,30,#266
france-F11_Renault_G1R,410,100,110,10,#266
france-F12_Hotchkiss_H35,45,46,27,"1,7",#266
france-F13_AMX38,70,46,27,"3,2",#266
france-F14_AMX40,175,74,110,"6,2",#266
france-F15_AMX_12t,175,144,135,20,#266
france-F16_AMX_13_75,175,144,135,16,#266
france-F17_AMX_13_90,320,170,240,42,#266
france-F17_AMX_13_90_IGR,320,170,240,42,#266
france-F18_Bat_Chatillon25t,480,259,390,40,#266
france-F18_Bat_Chatillon25t_IGR,480,259,390,40,#266
france-F19_Lorraine40t,400,232,300,40,#266
france-F20_RenaultBS,165,38,165,"7,8",#266
france-F21_Lorraine39_L_AM,410,53,410,"20,5",#266
france-F22_AMX_105AM,445,60,445,14,#266
france-F23_AMX_13F3AM,950,90,950,"30,6",#266
france-F24_Lorraine155_50,950,90,950,"29,8",#266
france-F25_Lorraine155_51,1250,95,1250,33,#266
france-F27_FCM_36Pak40,175,98,110,"3,77",#266
france-F28_105_leFH18B2,410,64,350,"9,3",#266
france-F28_105_leFH18B2_IGR,410,64,350,"9,3",#266
france-F30_RenaultFT_AC,70,66,55,"2,3",#266
france-F32_Somua_Sau_40,410,100,110,"8,5",#266
france-F33_S_35CA,360,171,150,"8,4",#266
france-F33_S_35CA_IGR,320,135,240,"8,4",#266
france-F34_ARL_V39,360,212,240,9,#266
france-F35_AMX_AC_Mle1946,400,232,300,10,#266
france-F36_AMX_AC_Mle1948,515,257,400,"10,4",#266
france-F36_AMX_AC_Mle1948_IGR,515,257,400,"10,4",#266
france-F37_AMX50_Foch,515,257,400,"9,3",#266
france-F38_Bat_Chatillon155_58,1250,95,1250,80,#266
france-F44_Somua_S35,70,66,55,"2,9",#266
france-F49_RenaultR35,45,46,27,"2,3",#266
france-F50_FCM36_20t,45,46,27,"2,3",#266
france-F52_RenaultUE57,75,110,75,"2,8",#266
france-F62_ELC_AMX,320,170,240,12,#266
france-F62_ELC_AMX_IGR,320,170,240,12,#266
france-F64_AMX_50Fosh_155,1100,293,750,50,#266
france-F65_FCM_50t,320,212,240,"7,5",#266
france-F66_AMX_Ob_Am105,445,60,445,16,#266
france-F67_Bat_Chatillon155_55,1250,95,1250,"31,1",#266
france-F68_AMX_Chasseur_de_char_46,320,212,240,"7,3",#266
france-F69_AMX13_57_100,90,143,90,16,#266
france-F69_AMX13_57_100_GrandFinal,90,143,90,16,#266
france-F70_SARL42,175,106,55,"5,4",#266
france-F71_AMX_30_prototype,480,260,390,"9,9",#266
france-F72_AMX_30,480,260,390,"8,9",#266
france-F73_M4A1_Revalorise,480,200,390,"12,8",#266
france-F74_AMX_M4_1949,400,232,300,"10,3",#266
france-F74_AMX_M4_1949_Liberte,400,232,300,"10,3",#266
france-F75_Char_de_25t,400,232,300,45,#266
france-F84_Somua_SM,400,232,300,43,#266
germany-Env_Artillery,950,85,950,"31,3",#266
germany-G02_Hummel,950,85,950,"31,3",#266
germany-G03_PzV_Panther,410,198,135,"4,4",#266
germany-G03_PzV_Panther_IGR,175,198,135,"4,4",#266
germany-G03_PzV_Panther_training,160,120,160,5,#266
germany-G04_PzVI_Tiger_I,410,203,240,"6,7",#266
germany-G04_PzVI_Tiger_I_IGR,295,203,240,"6,7",#266
germany-G04_PzVI_Tiger_IA,270,145,220,"4,7",#266
germany-G05_StuG_40_AusfG,410,150,135,"4,5",#266
germany-G05_StuG_40_AusfG_IGR,175,150,135,"4,5",#266
germany-G06_PzII,11,39,11,"3,9",#266
germany-G06_PzII_bot,6,23,6,"4,3",#266
germany-G07_Pz35t,45,42,40,"3,9",#266
germany-G08_Pz38t,75,62,60,"2,3",#266
germany-G09_Hetzer,410,110,110,"8,6",#266
germany-G10_PzIII_AusfJ,175,67,70,"2,5",#266
germany-G10_PzIII_AusfJ_training,42,40,36,"2,3",#266
germany-G100_Gtraktor_Krupp,175,43,110,"5,5",#266
germany-G101_StuG_III,410,110,110,9,#266
germany-G102_Pz_III,90,60,70,"2,5",#266
germany-G103_RU_251,320,190,240,"6,2",#266
germany-G104_Stug_IV,175,110,110,"3,7",#266
germany-G105_T-55_NVA_DDR,420,201,320,"7,7",#266
germany-G106_PzKpfwPanther_AusfF,295,203,240,"6,9",#266
germany-G107_PzKpfwIII_AusfK,175,103,110,4,#266
germany-G108_PzKpfwII_AusfD,11,23,11,"4,2",#266
germany-G109_Steyr_WT,295,203,240,"7,2",#266
germany-G11_Bison_I,450,75,350,"22,8",#266
germany-G112_KanonenJagdPanzer,320,238,240,"6,3",#266
germany-G113_SP_I_C,320,180,240,20,#266
germany-G114_Rheinmetall_Skorpian,630,246,490,"12,2",#266
germany-G114_Skorpian,630,246,490,"12,2",#266
germany-G115_Typ_205_4_Jun,630,210,490,17,#266
germany-G116_Turan_III_prot,175,113,110,4,#266
germany-G117_Toldi_III,60,64,45,4,#266
germany-G118_VK4503,295,203,240,"8,4",#266
germany-G119_Panzer58,320,212,240,8,#266
germany-G119_Pz58_Mutz,320,212,240,8,#266
germany-G12_Ltraktor,42,40,36,"3,4",#266
germany-G12_Ltraktor_bot,5,40,5,"2,3",#266
germany-G120_M41_90,320,182,240,"6,6",#266
germany-G120_M41_90_GrandFinal,320,182,240,"6,6",#266
germany-G121_Grille_15_L63,950,279,750,"16,5",#266
germany-G122_VK6501H,175,108,110,"4,4",#266
germany-G13_VK3001H,410,157,135,5,#266
germany-G15_VK3601H,410,157,135,"6,9",#266
germany-G16_PzVIB_Tiger_II,420,225,320,"10,4",#266
germany-G16_PzVIB_Tiger_II_IGR,420,225,320,"10,4",#266
germany-G16_PzVIB_Tiger_II_training,295,203,240,"8,2",#266
germany-G17_JagdPzIV,270,150,135,"5,4",#266
germany-G18_JagdPanther,420,203,240,"8,2",#266
germany-G19_Wespe,410,64,350,20,#266
germany-G20_Marder_II,175,108,110,"4,8",#266
germany-G21_PanzerJager_I,75,62,60,"2,5",#266
germany-G22_Sturmpanzer_II,450,75,350,"17,4",#266
germany-G23_Grille,680,75,350,"23,5",#266
germany-G24_VK3002DB,410,150,135,"6,4",#266
germany-G25_PzII_Luchs,90,95,30,18,#266
