WOT-DATA,2
{{EN}},"Contains ""*"" for every tank which has a rotating turret."
{{RU}},"Содержит ""*"" для танков, имеющих вращающуюся башню."
china-Ch01_Type59,*,#414
china-Ch01_Type59_Gold,*,#414
china-Ch02_Type62,*,#414
china-Ch03_WZ_111_A,*,#414
china-Ch03_WZ-111,*,#414
china-Ch04_T34_1,*,#414
china-Ch04_T34_1_training,*,#414
china-Ch05_T34_2,*,#414
china-Ch06_Renault_NC31,*,#414
china-Ch06_Renault_NC31_bot,*,#414
china-Ch07_Vickers_MkE_Type_BT26,*,#414
china-Ch08_Type97_Chi_Ha,*,#414
china-Ch08_Type97_Chi_Ha_bootcamp,*,#414
china-Ch09_M5,*,#414
china-Ch10_IS2,*,#414
china-Ch11_110,*,#414
china-Ch11_110_IGR,*,#414
china-Ch12_111_1_2_3,*,#414
china-Ch14_T34_3,*,#414
china-Ch15_59_16,*,#414
china-Ch16_WZ_131,*,#414
china-Ch17_WZ131_1_WZ132,*,#414
china-Ch17_WZ131_1_WZ132_IGR,*,#414
china-Ch18_WZ-120,*,#414
china-Ch19_121,*,#414
china-Ch19_121_IGR,*,#414
china-Ch20_Type58,*,#414
china-Ch21_T34,*,#414
china-Ch22_113,*,#414
china-Ch22_113_Beijing_Opera,*,#414
china-Ch22_113P,*,#414
china-Ch23_112,*,#414
china-Ch23_112_FL,*,#414
china-Ch24_Type64,*,#414
china-Ch25_121_mod_1971B,*,#414
china-Ch26_59_Patton,*,#414
china-Ch28_WZ_132A,*,#414
china-Ch29_Type_62C_prot,*,#414
china-Ch41_WZ_111_5A,*,#414
china-Ch41_WZ_111_5A_bob,*,#414
china-Ch41_WZ_111_QL,*,#414
china-Ch42_WalkerBulldog_M41D,*,#414
czech-Cz01_Skoda_T40,*,#414
czech-Cz02_TVP_T50,*,#414
czech-Cz03_LT_vz35,*,#414
czech-Cz04_T50_51,*,#414
czech-Cz05_T34_100,*,#414
czech-Cz06_Kolohousenka,*,#414
czech-Cz07_TVP_46,*,#414
czech-Cz08_T_25,*,#414
czech-Cz09_T_24,*,#414
czech-Cz10_LT_vz38,*,#414
czech-Cz11_V_8_H,*,#414
czech-Cz13_T_27,*,#414
france-F01_RenaultFT,*,#414
france-F01_RenaultFT_bot,*,#414
france-F02_D1,*,#414
france-F03_D2,*,#414
france-F04_B1,*,#414
france-F04_B1_bootcamp,*,#414
france-F05_BDR_G1B,*,#414
france-F06_ARL_44,*,#414
france-F07_AMX_M4_1945,*,#414
france-F08_AMX_50_100,*,#414
france-F08_AMX_50_100_IGR,*,#414
france-F09_AMX_50_120,*,#414
france-F10_AMX_50B,*,#414
france-F10_AMX_50B_fallout,*,#414
france-F100_Panhard_EBR_90,*,#414
france-F106_Panhard_EBR_75_Mle1954,*,#414
france-F107_Hotchkiss_EBR,*,#414
france-F108_Panhard_EBR_105,*,#414
france-F109_AMD_Panhard_178B,*,#414
france-F11_Renault_G1R,*,#414
france-F110_Lynx_6x6,*,#414
france-F111_AM39_Gendron_Somua,*,#414
france-F112_M10_RBFM,*,#414
france-F113_Bretagne_Panther,*,#414
france-F114_Projet_4_1,*,#414
france-F115_Lorraine_50t,*,#414
france-F116_Bat_Chatillon_Bourrasque,*,#414
france-F12_Hotchkiss_H35,*,#414
france-F13_AMX38,*,#414
france-F14_AMX40,*,#414
france-F15_AMX_12t,*,#414
france-F16_AMX_13_75,*,#414
france-F17_AMX_13_90,*,#414
france-F17_AMX_13_90_IGR,*,#414
france-F18_Bat_Chatillon25t,*,#414
france-F18_Bat_Chatillon25t_IGR,*,#414
france-F19_Lorraine40t,*,#414
france-F38_Bat_Chatillon155_58,*,#414
france-F42_AMR_35,*,#414
france-F43_AMC_35_SH,*,#414
france-F44_Somua_S35,*,#414
france-F49_RenaultR35,*,#414
france-F50_FCM36_20t,*,#414
france-F62_ELC_AMX,*,#414
france-F65_FCM_50t,*,#414
france-F67_Bat_Chatillon155_55,*,#414
france-F68_AMX_Chasseur_de_char_46,*,#414
france-F69_AMX13_57_100,*,#414
france-F69_AMX13_57_100_GrandFinal,*,#414
france-F70_SARL42,*,#414
france-F71_AMX_30_prototype,*,#414
france-F72_AMX_30,*,#414
france-F73_M4A1_Revalorise,*,#414
france-F73_M4A1_Revalorise_FL,*,#414
france-F74_AMX_M4_1949,*,#414
france-F74_AMX_M4_1949_FL,*,#414
france-F74_AMX_M4_1949_Liberte,*,#414
france-F75_Char_de_25t,*,#414
france-F81_Char_de_65t,*,#414
france-F82_AMX_M4_Mle1949_Ter,*,#414
france-F83_AMX_M4_Mle1949_Bis,*,#414
france-F84_Somua_SM,*,#414
france-F85_M4A1_FL10,*,#414
france-F87_Batignolles-Chatillon_12t,*,#414
france-F88_AMX_13_105,*,#414
france-F97_ELC_EVEN_90,*,#414
france-F97_ELC_EVEN_90_FL,*,#414
germany-G00_Bomber_SH,*,#414
germany-G03_PzV_Panther,*,#414
germany-G03_PzV_Panther_bootcamp,*,#414
germany-G03_PzV_Panther_IGR,*,#414
germany-G03_PzV_Panther_training,*,#414
germany-G04_PzVI_Tiger_I,*,#414
germany-G04_PzVI_Tiger_I_IGR,*,#414
germany-G04_PzVI_Tiger_IA,*,#414
germany-G06_PzII,*,#414
germany-G06_PzII_bot,*,#414
germany-G07_Pz35t,*,#414
germany-G08_Pz38t,*,#414
germany-G08_Pz38t_bootcamp,*,#414
germany-G10_PzIII_AusfJ,*,#414
germany-G10_PzIII_AusfJ_training,*,#414
germany-G100_Gtraktor_Krupp,*,#414
germany-G102_Pz_III,*,#414
germany-G102_Pz_III_bootcamp,*,#414
germany-G103_RU_251,*,#414
germany-G105_T-55_NVA_DDR,*,#414
germany-G106_PzKpfwPanther_AusfF,*,#414
germany-G107_PzKpfwIII_AusfK,*,#414
germany-G108_PzKpfwII_AusfD,*,#414
germany-G109_Steyr_WT,*,#414
germany-G110_Typ_205,*,#414
germany-G113_SP_I_C,*,#414
germany-G114_Rheinmetall_Skorpian,*,#414
germany-G114_Skorpian,*,#414
germany-G115_Typ_205_4_Jun,*,#414
germany-G115_Typ_205B,*,#414
germany-G116_Turan_III_prot,*,#414
germany-G117_Toldi_III,*,#414
germany-G117_Toldi_III_bootcamp,*,#414
germany-G118_VK4503,*,#414
germany-G119_Panzer58,*,#414
germany-G119_Panzer58_BF,*,#414
germany-G119_Panzer58_FL,*,#414
germany-G119_Pz58_Mutz,*,#414
germany-G12_Ltraktor,*,#414
germany-G12_Ltraktor_bot,*,#414
germany-G120_M41_90,*,#414
germany-G120_M41_90_GrandFinal,*,#414
germany-G122_VK6501H,*,#414
germany-G125_Spz_57_Rh,*,#414
germany-G126_HWK_12,*,#414
germany-G13_VK3001H,*,#414
germany-G134_PzKpfw_VII,*,#414
germany-G134_PzKpfw_VII_bob,*,#414
germany-G136_Tiger_131,*,#414
germany-G137_PzVI_Tiger_217,*,#414
germany-G138_VK168_02,*,#414
germany-G138_VK168_02_Mauerbrecher,*,#414
germany-G139_MKA,*,#414
germany-G140_HWK_30,*,#414
germany-G141_VK7501K,*,#414
germany-G142_M48RPz,*,#414
germany-G143_E75_TS,*,#414
germany-G144_Kpz_50t,*,#414
germany-G15_VK3601H,*,#414
germany-G16_PzVIB_Tiger_II,*,#414
germany-G16_PzVIB_Tiger_II_F,*,#414
germany-G16_PzVIB_Tiger_II_IGR,*,#414
germany-G16_PzVIB_Tiger_II_training,*,#414
germany-G24_VK3002DB,*,#414
germany-G24_VK3002DB_SH,*,#414
germany-G25_PzII_Luchs,*,#414
germany-G26_VK1602,*,#414
germany-G27_VK3001P,*,#414
germany-G28_PzIII_IV,*,#414
germany-G32_PzV_PzIV,*,#414
germany-G32_PzV_PzIV_ausf_Alfa,*,#414
germany-G32_PzV_PzIV_ausf_Alfa_CN,*,#414
germany-G32_PzV_PzIV_CN,*,#414
germany-G33_H39_captured,*,#414
germany-G34_S35_captured,*,#414
germany-G35_B-1bis_captured,*,#414
germany-G36_PzII_J,*,#414
germany-G42_Maus,*,#414
germany-G42_Maus_IGR,*,#414
germany-G46_T-25,*,#414
germany-G50_T-15,*,#414
germany-G51_Lowe,*,#414
germany-G51_Lowe_FL,*,#414
germany-G52_Pz38_NA,*,#414
germany-G53_PzI,*,#414
germany-G54_E-50,*,#414
germany-G55_E-75,*,#414
germany-G56_E-100,*,#414
germany-G57_PzVI_Tiger_P,*,#414
germany-G58_VK4502P,*,#414
germany-G58_VK4502P7,*,#414
germany-G63_PzI_ausf_C,*,#414
germany-G64_Panther_II,*,#414
germany-G64_Panther_II_IGR,*,#414
germany-G66_VK2801,*,#414
germany-G67_VK4502A,*,#414
germany-G70_PzIV_Hydro,*,#414
germany-G73_E50_Ausf_M,*,#414
germany-G77_PzIV_Schmalturm,*,#414
germany-G78_Panther_M10,*,#414
germany-G79_Pz_IV_AusfGH,*,#414
germany-G80_Pz_IV_AusfD,*,#414
germany-G80_Pz_IV_AusfD_bootcamp,*,#414
germany-G81_Pz_IV_AusfH,*,#414
germany-G82_Pz_II_AusfG,*,#414
germany-G83_Pz_IV_AusfA,*,#414
germany-G85_Auf_Panther,*,#414
germany-G85_Aufklarungspanzer_V,*,#414
germany-G86_VK2001DB,*,#414
germany-G87_VK3002DB_V1,*,#414
germany-G88_Indien_Panzer,*,#414
germany-G89_Leopard1,*,#414
germany-G90_DW_II,*,#414
germany-G91_Pro_Ag_A,*,#414
germany-G92_VK7201,*,#414
germany-G96_VK3002M,*,#414
germany-G97_Waffentrager_IV,*,#414
germany-G98_Waffentrager_E100,*,#414
germany-G98_Waffentrager_E100_P,*,#414
germany-G99_RhB_Waffentrager,*,#414
italy-It03_M15_42,*,#414
italy-It04_Fiat_3000,*,#414
italy-It05_Carro_L6_40,*,#414
italy-It06_M14_41,*,#414
italy-It07_P26_40,*,#414
italy-It08_Progetto_M40_mod_65,*,#414
italy-It08_Progetto_M40_mod_65_bob,*,#414
italy-It09_P43_ter,*,#414
italy-It10_P43_bis,*,#414
italy-It11_P43,*,#414
italy-It12_Prototipo_Standard_B,*,#414
italy-It13_Progetto_M35_mod_46,*,#414
italy-It14_P44_Pantera,*,#414
japan-J01_NC27,*,#414
japan-J01_NC27_bot,*,#414
japan-J02_Te_Ke,*,#414
japan-J03_Ha_Go,*,#414
japan-J04_Ke_Ni,*,#414
japan-J04_Ke_Ni_bootcamp,*,#414
japan-J05_Ke_Ni_B,*,#414
japan-J06_Ke_Ho,*,#414
japan-J07_Chi_Ha,*,#414
japan-J08_Chi_Nu,*,#414
japan-J09_Chi_He,*,#414
japan-J10_Chi_To,*,#414
japan-J11_Chi_Ri,*,#414
japan-J11_Chi_Ri_IGR,*,#414
japan-J12_Chi_Nu_Kai,*,#414
japan-J13_STA_1,*,#414
japan-J13_STA_1_IGR,*,#414
japan-J14_Type_61,*,#414
japan-J15_Chi_Ni,*,#414
japan-J16_ST_B1,*,#414
japan-J16_ST_B1_IGR,*,#414
japan-J18_STA_2_3,*,#414
japan-J19_Tiger_I_Jpn,*,#414
japan-J20_Type_2605,*,#414
japan-J21_Type_91,*,#414
japan-J22_Type_95,*,#414
japan-J22_Type_95_bootcamp,*,#414
japan-J23_Mi_To,*,#414
japan-J24_Mi_To_130_tons,*,#414
japan-J25_Type_4,*,#414
japan-J26_Type_89,*,#414
japan-J27_O_I_120,*,#414
japan-J28_O_I_100,*,#414
japan-J29_Nameless,*,#414
japan-J30_Edelweiss,*,#414
poland-Pl03_PzV_Poland,*,#414
poland-Pl05_50TP_Tyszkiewicza,*,#414
poland-Pl06_10TP,*,#414
poland-Pl07_14TP,*,#414
poland-Pl08_50TP_prototyp,*,#414
poland-Pl09_7TP,*,#414
poland-Pl10_40TP_Habicha,*,#414
poland-Pl11_45TP_Habicha,*,#414
poland-Pl12_25TP_KSUST_II,*,#414
poland-Pl13_53TP_Markowskiego,*,#414
poland-Pl14_4TP,*,#414
poland-Pl15_60TP_Lewandowskiego,*,#414
poland-Pl16_T34_85_Rudy,*,#414
poland-Pl17_DS_PZlnz,*,#414
poland-Pl18_BUGI,*,#414
poland-Pl19_CS_52_LIS,*,#414
poland-Pl20_CS_44,*,#414
poland-Pl21_CS_63,*,#414
poland-Pl22_CS_59,*,#414
poland-Pl23_CS_53,*,#414
sweden-S01_Strv_74_A2,*,#414
sweden-S02_Strv_M42,*,#414
sweden-S03_Strv_M38,*,#414
sweden-S04_Lago_I,*,#414
sweden-S05_Strv_M21_29,*,#414
sweden-S07_Strv_74,*,#414
sweden-S12_Strv_M40,*,#414
sweden-S13_Leo,*,#414
sweden-S15_L_60,*,#414
sweden-S16_Kranvagn,*,#414
sweden-S17_EMIL_1952_E2,*,#414
sweden-S18_EMIL_1951_E1,*,#414
sweden-S23_Strv_81,*,#414
sweden-S23_Strv_81_sabaton,*,#414
sweden-S25_EMIL_51,*,#414
sweden-S26_Lansen_C,*,#414
sweden-S27_UDES_16,*,#414
sweden-S28_UDES_15_16,*,#414
sweden-S28_UDES_15_16_bob,*,#414
sweden-S29_UDES_14_5,*,#414
sweden-S30_UDES_03_Alt_3,*,#414
sweden-S31_Strv_K,*,#414
uk-GB01_Medium_Mark_I,*,#414
uk-GB01_Medium_Mark_I_bot,*,#414
uk-GB03_Cruiser_Mk_I,*,#414
uk-GB04_Valentine,*,#414
uk-GB05_Vickers_Medium_Mk_II,*,#414
uk-GB05_Vickers_Medium_Mk_II_bot,*,#414
uk-GB06_Vickers_Medium_Mk_III,*,#414
uk-GB07_Matilda,*,#414
uk-GB08_Churchill_I,*,#414
uk-GB08_Churchill_I_IGR,*,#414
uk-GB09_Churchill_VII,*,#414
uk-GB10_Black_Prince,*,#414
uk-GB100_Manticore,*,#414
uk-GB101_FV1066_Senlac,*,#414
uk-GB102_LHMTV,*,#414
uk-GB103_GSOR3301_AVR_FS,*,#414
uk-GB104_GSR_3301_Setter,*,#414
uk-GB105_Black_Prince_2019,*,#414
uk-GB107_Cavalier,*,#414
uk-GB107_Cavalier_SH,*,#414
uk-GB108_A46,*,#414
uk-GB11_Caernarvon,*,#414
uk-GB11_Caernarvon_IGR,*,#414
uk-GB12_Conqueror,*,#414
uk-GB13_FV215b,*,#414
uk-GB13_FV215b_IGR,*,#414
uk-GB14_M2,*,#414
uk-GB15_Stuart_I,*,#414
uk-GB19_Sherman_Firefly,*,#414
uk-GB20_Crusader,*,#414
uk-GB21_Cromwell,*,#414
uk-GB21_Cromwell_IGR,*,#414
uk-GB22_Comet,*,#414
uk-GB23_Centurion,*,#414
uk-GB23_Centurion_IGR,*,#414
uk-GB24_Centurion_Mk3,*,#414
uk-GB26_Birch_Gun,*,#414
uk-GB33_Sentinel_AC_I,*,#414
uk-GB35_Sentinel_AC_IV,*,#414
uk-GB37_Valliant,*,#414
uk-GB41_Challenger,*,#414
uk-GB45_Achilles_IIC,*,#414
uk-GB50_Sherman_III,*,#414
uk-GB51_Excelsior,*,#414
uk-GB52_A45,*,#414
uk-GB58_Cruiser_Mk_III,*,#414
uk-GB59_Cruiser_Mk_IV,*,#414
uk-GB60_Covenanter,*,#414
uk-GB63_TOG_II,*,#414
uk-GB68_Matilda_Black_Prince,*,#414
uk-GB69_Cruiser_Mk_II,*,#414
uk-GB70_FV4202_105,*,#414
uk-GB70_N_FV4202_105,*,#414
uk-GB70_N_FV4202_105_FL,*,#414
uk-GB76_Mk_VIC,*,#414
uk-GB80_Charioteer,*,#414
uk-GB81_FV4004,*,#414
uk-GB84_Chieftain_Mk6,*,#414
uk-GB85_Cromwell_Berlin,*,#414
uk-GB86_Centurion_Action_X,*,#414
uk-GB87_Chieftain_T95_turret,*,#414
uk-GB88_T95_Chieftain_turret,*,#414
uk-GB91_Super_Conqueror,*,#414
uk-GB93_Caernarvon_AX,*,#414
uk-GB94_Centurion_Mk5-1_RAAC,*,#414
uk-GB95_Ekins_Firefly_M4A4,*,#414
uk-GB97_Chimera,*,#414
uk-GB98_T95_FV4201_Chieftain,*,#414
usa-A01_T1_Cunningham,*,#414
usa-A01_T1_Cunningham_bot,*,#414
usa-A02_M2_lt,*,#414
usa-A03_M3_Stuart,*,#414
usa-A03_M3_Stuart_bootcamp,*,#414
usa-A05_M4_Sherman,*,#414
usa-A05_M4_Sherman_IGR,*,#414
usa-A06_M4A3E8_Sherman,*,#414
usa-A06_M4A3E8_Sherman_training,*,#414
usa-A07_T20,*,#414
usa-A08_T23,*,#414
usa-A09_T1_hvy,*,#414
usa-A10_M6,*,#414
usa-A100_T49,*,#414
usa-A103_T71E1,*,#414
usa-A103_T71E1_IGR,*,#414
usa-A104_M4A3E8A,*,#414
usa-A106_M48A2_120,*,#414
usa-A11_T29,*,#414
usa-A11_T29_IGR,*,#414
usa-A111_T25_Pilot,*,#414
usa-A112_T71E2,*,#414
usa-A112_T71E2R,*,#414
usa-A115_Chrysler_K,*,#414
usa-A115_Chrysler_K_GF,*,#414
usa-A116_XM551,*,#414
usa-A117_T26E5,*,#414
usa-A117_T26E5_FL,*,#414
usa-A117_T26E5_Patriot,*,#414
usa-A118_M4_Thunderbolt,*,#414
usa-A12_T32,*,#414
usa-A12_T32_FL,*,#414
usa-A120_M48A5,*,#414
usa-A120_M48A5_IGR,*,#414
usa-A121_M26_Cologne,*,#414
usa-A123_T78,*,#414
usa-A124_T54E2,*,#414
usa-A125_AEP_1,*,#414
usa-A126_PzVI_Tiger_II_capt,*,#414
usa-A127_TL_1_LPC,*,#414
usa-A128_concept_1b,*,#414
usa-A129_T6_medium,*,#414
usa-A13_T34_hvy,*,#414
usa-A13_T34_hvy_BF,*,#414
usa-A13_T34_hvy_FL,*,#414
usa-A13_T34_hvy_IGR,*,#414
usa-A130_Super_Hellcat,*,#414
usa-A132_T77,*,#414
usa-A14_T30,*,#414
usa-A19_T2_lt,*,#414
usa-A21_T14,*,#414
usa-A22_M5_Stuart,*,#414
usa-A22_M5_Stuart_bootcamp,*,#414
usa-A23_M7_med,*,#414
usa-A24_T2_med,*,#414
usa-A24_T2_med_bot,*,#414
usa-A25_M2_med,*,#414
usa-A25_M2_med_bootcamp,*,#414
usa-A30_M10_Wolverine,*,#414
usa-A31_M36_Slagger,*,#414
usa-A33_MTLS-1G14,*,#414
usa-A34_M24_Chaffee,*,#414
usa-A35_Pershing,*,#414
usa-A35_Pershing_IGR,*,#414
usa-A36_Sherman_Jumbo,*,#414
usa-A36_Sherman_Jumbo_bootcamp,*,#414
usa-A36_Sherman_Jumbo_IGR,*,#414
usa-A41_M18_Hellcat,*,#414
usa-A43_M22_Locust,*,#414
usa-A44_M4A2E4,*,#414
usa-A45_M6A2E1,*,#414
usa-A57_M8A1,*,#414
usa-A58_T67,*,#414
usa-A58_T67_IGR,*,#414
usa-A62_Ram-II,*,#414
usa-A63_M46_Patton,*,#414
usa-A63_M46_Patton_KR,*,#414
usa-A66_M103,*,#414
usa-A67_T57_58,*,#414
usa-A69_T110E5,*,#414
usa-A71_T21,*,#414
usa-A72_T25_2,*,#414
