WOT-DATA,2
{{ID}},Tank
{{EN}},Tank hit points with the top turret.
{{RU}},Прочность танка с топ башней.
china-Ch01_Type59,1300,#287
china-Ch01_Type59_Gold,1300,#287
china-Ch02_Type62,880,#287
china-Ch03_WZ_111_A,1550,#287
china-Ch03_WZ-111,1550,#287
china-Ch04_T34_1,1050,#287
china-Ch04_T34_1_training,960,#287
china-Ch05_T34_2,1300,#287
china-Ch06_Renault_NC31,235,#287
china-Ch06_Renault_NC31_bot,100,#287
china-Ch07_Vickers_MkE_Type_BT26,340,#287
china-Ch08_Type97_Chi_Ha,425,#287
china-Ch08_Type97_Chi_Ha_bootcamp,405,#287
china-Ch09_M5,520,#287
china-Ch10_IS2,1280,#287
china-Ch11_110,1550,#287
china-Ch11_110_IGR,1550,#287
china-Ch12_111_1_2_3,1850,#287
china-Ch14_T34_3,1300,#287
china-Ch15_59_16,670,#287
china-Ch16_WZ_131,900,#287
china-Ch17_WZ131_1_WZ132,1100,#287
china-Ch17_WZ131_1_WZ132_IGR,1100,#287
china-Ch18_WZ-120,1650,#287
china-Ch19_121,1950,#287
china-Ch19_121_IGR,1950,#287
china-Ch20_Type58,840,#287
china-Ch21_T34,590,#287
china-Ch22_113,2300,#287
china-Ch22_113_Beijing_Opera,2300,#287
china-Ch22_113P,2300,#287
china-Ch23_112,1500,#287
china-Ch23_112_FL,1500,#287
china-Ch24_Type64,650,#287
china-Ch25_121_mod_1971B,1950,#287
china-Ch26_59_Patton,1400,#287
china-Ch28_WZ_132A,1250,#287
china-Ch29_Type_62C_prot,1500,#287
china-Ch30_T-26G_FT,250,#287
china-Ch31_M3G_FT,285,#287
china-Ch32_SU-76G_FT,430,#287
china-Ch33_60G_FT,520,#287
china-Ch34_WZ131G_FT,620,#287
china-Ch35_T-34-2G_FT,800,#287
china-Ch36_WZ111_1G_FT,1000,#287
china-Ch37_WZ111G_FT,1800,#287
china-Ch38_WZ113G_FT,2100,#287
china-Ch39_WZ120_1G_FT,1100,#287
china-Ch39_WZ120_1G_FT_FL,1100,#287
china-Ch40_WZ120G_FT,1700,#287
china-Ch41_WZ_111_5A,2200,#287
china-Ch41_WZ_111_5A_bob,2200,#287
