WOT-DATA,2
{{ID}},TopTurretBase
{{EN}},Base visibility with top turret.
{{RU}},Базовый обзор из топ башни.
china-Ch01_Type59,380,#221
china-Ch01_Type59_Gold,380,#221
china-Ch02_Type62,390,#221
china-Ch03_WZ_111_A,380,#221
china-Ch03_WZ-111,380,#221
china-Ch04_T34_1,370,#221
china-Ch04_T34_1_training,360,#221
china-Ch05_T34_2,380,#221
china-Ch06_Renault_NC31,280,#221
china-Ch06_Renault_NC31_bot,250,#221
china-Ch07_Vickers_MkE_Type_BT26,310,#221
china-Ch08_Type97_Chi_Ha,330,#221
china-Ch08_Type97_Chi_Ha_bootcamp,310,#221
china-Ch09_M5,350,#221
china-Ch10_IS2,350,#221
china-Ch11_110,380,#221
china-Ch11_110_IGR,380,#221
china-Ch12_111_1_2_3,400,#221
china-Ch14_T34_3,380,#221
china-Ch15_59_16,360,#221
china-Ch16_WZ_131,370,#221
china-Ch17_WZ131_1_WZ132,380,#221
china-Ch17_WZ131_1_WZ132_IGR,380,#221
china-Ch18_WZ-120,390,#221
china-Ch19_121,400,#221
china-Ch19_121_IGR,400,#221
china-Ch20_Type58,370,#221
china-Ch21_T34,350,#221
china-Ch22_113,400,#221
china-Ch22_113_Beijing_Opera,400,#221
china-Ch22_113P,400,#221
china-Ch23_112,380,#221
china-Ch23_112_FL,380,#221
china-Ch24_Type64,390,#221
china-Ch25_121_mod_1971B,420,#221
china-Ch26_59_Patton,400,#221
china-Ch28_WZ_132A,390,#221
china-Ch29_Type_62C_prot,400,#221
china-Ch30_T-26G_FT,270,#221
china-Ch31_M3G_FT,310,#221
china-Ch32_SU-76G_FT,320,#221
china-Ch33_60G_FT,340,#221
china-Ch34_WZ131G_FT,350,#221
china-Ch35_T-34-2G_FT,360,#221
china-Ch36_WZ111_1G_FT,370,#221
china-Ch37_WZ111G_FT,380,#221
china-Ch38_WZ113G_FT,390,#221
china-Ch39_WZ120_1G_FT,380,#221
china-Ch39_WZ120_1G_FT_FL,380,#221
china-Ch40_WZ120G_FT,390,#221
china-Ch41_WZ_111_5A,400,#221
china-Ch41_WZ_111_5A_bob,400,#221
china-Ch41_WZ_111_QL,400,#221
china-Ch42_WalkerBulldog_M41D,390,#221
czech-Cz01_Skoda_T40,370,#221
czech-Cz02_TVP_T50,400,#221
czech-Cz03_LT_vz35,320,#221
czech-Cz04_T50_51,410,#221
czech-Cz05_T34_100,370,#221
czech-Cz06_Kolohousenka,280,#221
czech-Cz07_TVP_46,380,#221
czech-Cz08_T_25,360,#221
czech-Cz09_T_24,350,#221
czech-Cz10_LT_vz38,330,#221
czech-Cz11_V_8_H,340,#221
czech-Cz13_T_27,380,#221
france-F01_RenaultFT,280,#221
france-F01_RenaultFT_bot,250,#221
france-F02_D1,300,#221
france-F03_D2,320,#221
france-F04_B1,330,#221
france-F04_B1_bootcamp,300,#221
france-F05_BDR_G1B,320,#221
france-F06_ARL_44,350,#221
france-F07_AMX_M4_1945,360,#221
france-F08_AMX_50_100,380,#221
